Unique_trajectory,Elev,Vinit,Vavg,Vel_diff,Duration,Deceleration ,HtBeg,HtEnd,AtmDensBeg,AtmDensPeak,AtmDensEnd,TrailLength,EnergyRecBeg,EnergyRecPeak,EnergyRecEnd,ZenithAngle,AbsMag,F,Mass_kg,Kb,IAU_code
20230104130218_pyAqa,55.06201,40.66581,40.84367,-0.17786,0.34,-0.523117647,100.154,88.9469,5.07E-07,2.77E-06,3.73E-06,13.8868478,2.864394206,15.81497104,21.76773029,34.93799,-1.05,0.84,0.000132,7.170995031,  QUA
20230104130220_zNO0H,39.30166,67.43921,67.08086,0.35835,0.61,0.587459016,115.3246,92.0976,3.35E-08,1.15E-06,2.18E-06,40.9193246,1.111713851,22.57922282,43.18693255,50.69834,-2.21,0.845,0.000196,6.59586891,  ...
20230104130227_1NKb4,56.45798,42.17643,41.01674,1.15969,0.4,2.899225,97.4122,88.1667,8.48E-07,2.11E-06,4.28E-06,16.406696,4.959038205,12.14790877,24.80447524,33.54202,-0.33,0.548,5.18E-05,7.430684506,  QUA
20230104130315_GKIxk,62.924,58.96969,57.98755,0.98214,0.2,4.9107,106.6924,96.1236,1.45E-07,5.23E-07,1.07E-06,11.59751,1.856409674,5.613714025,11.10286647,27.076,0.08,0.636,1.51E-05,7.012243858,  ...
20230104130318_dKU3F,33.16652,63.39973,60.76557,2.63416,0.22,11.97345455,98.9734,92.3254,6.30E-07,1.23E-06,2.09E-06,13.3684254,12.83191592,23.83143705,39.40683528,56.83348,-0.36,0.547,2.13E-05,7.835512816,  ...
20230104130357_pRqa7,16.19618,63.99109,61.94141,2.04968,0.44,4.658363636,110.1835,103.451,7.72E-08,1.62E-07,2.68E-07,27.2542204,4.238187444,7.411747265,10.9962433,73.80382,0.35,0.607,1.77E-05,7.080169943,  ...
20230104130430_FdnXg,56.91047,41.4438,41.70716,-0.26336,0.42,-0.627047619,99.8022,86.4545,5.41E-07,2.91E-06,5.58E-06,17.5170072,3.096360271,17.02288429,34.02215159,33.08953,-0.62,0.704,9.15E-05,7.215009582,  QUA
20230104130518_NQr1s,56.45619,41.02579,39.9691,1.05669,0.37,2.855918919,99.5432,87.9003,5.68E-07,2.00E-06,4.45E-06,14.788567,3.191750521,10.94570809,24.60266674,33.54381,0.68,0.594,2.00E-05,7.226579307,  QUA
20230104130642_h5JzI,53.44847,39.90518,36.72671,3.17847,0.2,15.89235,96.3717,90.5738,1.02E-06,1.85E-06,2.83E-06,7.345342,5.571489203,9.386904545,13.43952395,36.55153,1.1,0.572,1.02E-05,7.460621194,  ...
20230104130649_VTE7r,56.21044,42.35378,42.33485,0.01893,0.25,0.07572,97.6868,88.7934,8.06E-07,2.36E-06,3.82E-06,10.5837125,4.778642811,14.24311418,23.66271196,33.78956,0.64,0.677,1.91E-05,7.413572249,  QUA
20230104130701_cvt22,55.47051,40.63179,39.51021,1.12158,0.49,2.288938776,100.8222,85.8298,4.44E-07,2.37E-06,6.21E-06,19.3600029,2.520970726,12.93340028,34.61467639,34.52949,0.56,0.613,2.36E-05,7.112004928,  QUA
20230104130846_TnVYx,57.53364,42.16563,40.87163,1.294,0.42,3.080952381,101.1497,86.6981,4.16E-07,2.56E-06,5.35E-06,17.1660846,2.498978447,14.7514574,30.9681672,32.46636,1.07,0.694,2.15E-05,7.118695008,  QUA
20230104130929_dG2R2,58.47537,43.16328,40.02004,3.14324,0.32,9.822625,98.3079,88.0482,7.14E-07,2.13E-06,4.29E-06,12.8064128,4.310070681,12.0534066,23.32217573,31.52463,0.86,0.593,1.38E-05,7.37618942,  QUA
20230104130938_215PI,55.34152,40.65528,39.32717,1.32811,0.44,3.018431818,101.2928,86.9222,4.05E-07,2.29E-06,5.18E-06,17.3039548,2.324360055,12.49046173,28.41049698,34.65848,-0.43,0.661,7.40E-05,7.072956582,  QUA
20230104131008_YR1Xa,58.34261,42.34023,41.06978,1.27045,0.37,3.433648649,99.1938,86.2868,6.05E-07,3.66E-06,5.79E-06,15.1958186,3.535956193,21.33492267,33.54299698,31.65739,-0.73,0.784,8.73E-05,7.283684042,  QUA
20230104131059_sxCCd,20.61655,62.2873,60.65232,1.63498,0.29,5.637862069,108.6277,102.5268,1.02E-07,2.01E-07,3.20E-07,17.5891728,3.932391392,6.707734462,9.768050612,69.38345,0.62,0.604,9.23E-06,7.120621542,  ...
20230104131230_eu2rb,72.92182,62.87706,61.15185,1.72521,0.28,6.161464286,112.1681,95.6855,5.50E-08,5.62E-07,1.15E-06,17.122518,0.920502751,6.308556662,12.38231551,17.07818,-1,0.765,4.84E-05,6.646716758,  ...
20230104131303_7XHuq,55.31473,37.60135,38.22874,-0.62739,0.26,-2.413038462,96.5363,88.5384,9.91E-07,1.20E-06,3.96E-06,9.9394724,4.681346044,5.771341974,20.26506561,34.68527,2.13,0.132,3.99E-06,7.37656119,  ...
20230104131431_n41VR,81.01344,64.33791,61.05764,3.28027,0.24,13.66779167,107.3956,95.357,1.27E-07,3.24E-07,1.22E-06,14.6538336,1.782656347,3.767056606,12.64060962,8.98656,-0.25,0.413,1.92E-05,7.026832029,  ...
20230104131740_L3PIh,59.88018,41.28073,42.25063,-0.9699,0.36,-2.694166667,100.122,86.8914,5.06E-07,2.20E-06,5.12E-06,15.2102268,2.799942355,12.45943418,30.95241003,30.11982,-0.57,0.616,5.07E-05,7.17478974,  QUA
20230104131813_4FAkU,54.94728,39.60131,38.68325,0.91806,0.28,3.278785714,96.9426,88.2517,9.14E-07,1.49E-06,4.14E-06,10.83131,4.81815584,7.718400372,21.79592344,35.05272,-0.6,0.313,6.10E-05,7.39873935,  QUA
20230104132103_zR3BH,82.51008,58.15331,57.66958,0.48373,0.24,2.015541667,106.2434,94.0713,1.58E-07,3.88E-07,1.53E-06,13.8406992,1.733213861,3.765501733,14.23304137,7.48992,-0.96,0.389,3.48E-05,7.01144945,  ...
20230104132411_Iy6cz,60.31332,42.17903,41.32639,0.85264,0.49,1.740081633,96.9901,81.1839,9.01E-07,6.33E-06,1.27E-05,20.2499311,5.095748025,37.59956734,76.09696843,29.68668,-0.97,0.724,0.000172,7.44822401,  QUA
20230104132416_RXqBi,63.92874,67.82851,66.08663,1.74188,0.24,7.257833333,109.0573,95.1524,9.44E-08,4.09E-07,1.26E-06,15.8607912,1.716094642,5.828305038,16.98097719,26.07126,-0.07,0.562,1.11E-05,6.976597037,  ...
20230104132957_U0dsQ,30.65473,56.56278,57.03565,-0.47287,0.35,-1.351057143,106.8414,96.6804,1.41E-07,3.60E-07,9.55E-07,19.9624775,2.898535764,6.576039783,16.80260749,59.34527,-0.43,0.488,4.53E-05,7.075632342,  ...
20230104133851_tPEe5,42.98546,71.5042,70.62494,0.87926,0.37,2.376378378,110.356,92.9821,7.45E-08,9.47E-07,1.83E-06,26.1312278,2.085868221,19.36509168,37.39203059,47.01454,-1.26,0.786,5.29E-05,6.990982507,  ...
20230105013724_Y2CNE,44.36623,14.91771,13.34404,1.57367,1.59,0.98972956,81.2407,68.5718,1.30E-05,4.05E-05,8.74E-05,21.2170236,12.76638836,37.4412025,73.32908046,45.63377,0.6,0.594,0.000999,7.524873207,  ...
20230105022243_ZqEIY,51.98966,19.02733,18.45283,0.5745,1.26,0.455952381,93.8824,76.6419,1.63E-06,5.00E-06,2.58E-05,23.2505658,2.043885259,6.537560566,35.3559392,38.01034,0.35,0.39,0.000544,6.862733351,  ...
20230105024746_BjytL,65.48604,17.61646,15.27295,2.34351,0.68,3.446338235,78.9547,69.8401,1.80E-05,2.91E-05,7.26E-05,10.385606,19.22356206,27.43212837,60.17743788,24.51396,1.87,0.342,0.000101,7.790874458,  ...
20230105033648_MUkmQ,31.84781,12.45104,11.90286,0.54818,1.83,0.299551913,87.6576,76.1961,4.59E-06,1.61E-05,2.76E-05,21.7822338,3.94400957,14.13115711,23.48284783,58.15219,1.25,0.696,0.000617,6.938473142,  ...
20230105035633_d9fSP,45.04073,25.10536,24.69835,0.40701,0.96,0.42396875,94.93,79.484,1.37E-06,4.13E-06,1.68E-05,23.710416,3.280086113,10.48708562,45.13480537,44.95927,0.41,0.424,0.000253,7.11064098,  ...
20230105041328_IFJnM,33.96855,34.53754,34.46307,0.07447,0.28,0.265964286,91.7472,86.2943,2.39E-06,3.54E-06,5.81E-06,9.6496596,14.25007356,21.61884696,36.69671778,56.03145,-0.51,0.433,7.25E-05,7.751380621,  ...
20230105042310_c2e5q,49.7221,25.19826,24.54325,0.65501,0.32,2.04690625,87.9748,82.7461,4.46E-06,5.67E-06,1.02E-05,7.85384,10.81368029,13.60486817,24.67027784,40.2779,1.13,0.286,4.46E-05,7.611461306,  ...
20230105042549_6j8EU,32.85634,15.38412,14.48815,0.89597,0.88,1.018147727,79.0763,72.1891,1.80E-05,4.10E-05,5.14E-05,12.749572,24.68761493,54.23908994,64.22998545,57.14366,1.42,0.784,0.000221,7.755695506,  ...
20230105043038_LU23O,49.80927,24.91186,24.56697,0.34489,0.73,0.472452055,97.5391,84.7212,8.61E-07,3.74E-06,7.45E-06,17.9338881,1.867657186,8.635859734,17.79208727,40.19073,-0.91,0.662,0.000526,6.884687739,  ...
20230105070136_kTfQD,52.60954,45.42931,44.10386,1.32545,0.61,2.172868852,101.7972,81.9966,3.93E-07,6.42E-06,1.29E-05,26.9033546,2.79007737,47.12173106,98.08910658,37.39046,-1.22,0.769,0.000212,7.187783345,  ...
20230105071535_A9yDj,26.41807,50.20108,49.99302,0.20806,0.72,0.288972222,109.1109,94.2302,8.90E-08,7.85E-07,1.83E-06,35.9949744,1.889758397,11.28561278,26.39237596,63.58193,-1.25,0.709,0.000176,6.776819956,  ...
20230105072237_05J23,79.18731,29.44735,29.14082,0.30653,0.32,0.95790625,89.6211,80.8307,3.96E-06,5.38E-06,1.54E-05,9.3250624,9.627504503,13.33695692,42.06108118,10.81269,1.08,0.213,3.00E-05,7.674048607,  ...
20230105072411_g3eo7,11.30418,62.18032,62.93467,-0.75435,0.56,-1.347053571,111.5034,104.7794,5.82E-08,1.55E-07,2.11E-07,35.2434152,4.879061727,10.01856148,12.87533927,78.69582,0.1,0.778,2.19E-05,7.002628332,  ...
20230105072521_dLveI,41.59987,58.0123,57.09376,0.91854,0.37,2.482540541,106.2559,92.475,1.53E-07,6.26E-07,2.41E-06,21.1246912,2.527132857,8.146502621,31.16366261,48.40013,0.23,0.492,2.44E-05,7.081446879,  ...
20230105073604_3lhG4,71.2585,33.26933,32.53312,0.73621,0.68,1.082661765,87.8727,68.1773,5.50E-06,3.61E-05,9.39E-05,22.1225216,18.12052313,140.8492277,366.0871463,18.7415,-2.2,0.655,0.000893,7.957261291,  ...
20230105075616_rnAmg,45.80766,58.38503,58.19087,0.19416,0.28,0.693428571,100.8104,89.4747,4.83E-07,1.63E-06,4.24E-06,16.2934436,6.032001624,19.52208669,54.59442999,44.19234,-0.54,0.526,3.41E-05,7.571811372,  ...
20230105082602_LvSzQ,41.21783,62.69659,60.13527,2.56132,0.25,10.24528,107.2801,97.1418,1.20E-07,3.39E-07,1.03E-06,15.0338175,2.512540456,5.361802744,14.07670175,48.78217,-0.22,0.486,1.67E-05,7.064321881,  ...
20230105082719_qNw6E,26.60646,70.48638,69.44307,1.04331,0.24,4.347125,110.9598,104.0073,6.12E-08,1.15E-07,2.34E-07,16.6663368,2.893823599,4.447081933,7.50586894,63.39354,-1.13,0.498,3.41E-05,6.9811855,  ...
20230105083229_uKpft,18.13636,41.44992,40.98086,0.46906,1.04,0.451019231,99.4818,86.4969,6.10E-07,1.75E-06,6.66E-06,42.6200944,8.71359015,24.25065219,102.6219105,71.86364,-1.24,0.403,0.000192,7.482293139,  QUA
20230105084331_0fbu9,23.15059,61.41968,59.32313,2.09655,0.3,6.9885,102.2018,95.6519,3.45E-07,8.84E-07,1.35E-06,17.796939,9.147814128,20.64961895,30.38510522,66.84941,-0.37,0.677,2.64E-05,7.611214586,  ...
20230105090707_GPord,31.46343,70.71278,68.57654,2.13624,0.28,7.629428571,105.7421,97.2556,1.64E-07,3.93E-07,1.02E-06,19.2014312,5.058913942,9.818998533,22.71016228,58.53657,-1.1,0.477,3.53E-05,7.379944415,  ...
20230105091502_QGxxM,52.61118,64.47892,63.59324,0.88568,0.32,2.76775,110.0506,96.1581,7.13E-08,5.50E-07,1.28E-06,20.3498368,1.52743382,7.284296684,16.14357935,37.38882,-1.67,0.709,7.08E-05,6.826580381,  COM
20230105091618_zMwju,28.93766,47.95552,43.67417,4.28135,0.56,7.645267857,95.7115,84.4214,1.33E-06,3.22E-06,9.31E-06,24.4575352,15.84176225,36.8752984,108.6706847,61.06234,-0.08,0.423,7.52E-05,7.883085633,  ...
20230105092428_jbtAL,27.22649,62.75543,61.77795,0.97748,0.36,2.715222222,110.4548,100.5149,6.65E-08,1.84E-07,5.11E-07,22.240062,2.392046527,4.866998814,11.03573148,62.77351,0.03,0.527,2.16E-05,6.886700861,  ...
20230105094544_5luAY,26.58826,66.72421,67.14774,-0.42353,0.32,-1.32353125,97.9024,89.6649,8.60E-07,1.25E-06,4.03E-06,21.4872768,21.55818864,31.34486867,109.4900409,63.41174,-0.08,0.224,2.02E-05,8.069700232,  ...
20230105100823_kcVMV,30.33066,40.13175,39.65896,0.47279,0.68,0.695279412,98.3555,85.0621,7.74E-07,3.60E-06,8.37E-06,26.9680928,6.286374317,30.3823319,76.21300809,59.66934,-1.4,0.611,0.000344,7.445623114,  QUA
20230105101427_D3rd2,16.26355,69.81143,69.35803,0.4534,0.5,0.9068,113.8656,104.2006,3.96E-08,6.65E-08,2.22E-07,34.679015,3.260222614,4.745887386,11.52579255,73.73645,0.23,0.35,2.12E-05,6.884141602,  DSV
20230105101435_FLJxi,48.23922,55.67197,52.78338,2.88859,0.36,8.023861111,108.1865,94.7016,1.00E-07,5.82E-07,1.60E-06,19.0020168,1.532124082,5.968574774,15.12485294,41.76078,0.08,0.63,2.84E-05,6.828335313,  ...
20230105103654_A7ijN,26.57944,37.75931,37.31721,0.4421,0.53,0.834150943,91.2598,82.4027,2.96E-06,1.03E-05,1.23E-05,19.7781213,25.01364119,97.24016725,116.6237539,63.42056,-1.27,0.868,0.000312,7.988031386,  ...
20230105110447_fdU3W,22.7102,65.91692,65.02332,0.8936,0.57,1.567719298,114.7806,100.569,3.59E-08,2.58E-07,4.78E-07,37.0632924,1.897579764,8.468125207,14.21131334,67.2898,-2.03,0.788,0.000165,6.70887291,  ACV
20230105110655_ISnNS,15.59702,64.84991,64.44319,0.40672,0.53,0.767396226,109.1666,100.0615,8.63E-08,2.23E-07,5.32E-07,34.1548907,5.115246544,10.49537353,21.93258437,74.40298,-0.05,0.538,2.91E-05,7.150990943,  ...
20230105110843_spXsF,21.36794,70.00401,69.11698,0.88703,0.53,1.673641509,114.5621,101.2458,3.68E-08,1.51E-07,4.15E-07,36.6319994,2.324905919,6.620235231,14.97517164,68.63206,-0.27,0.628,3.66E-05,6.798149132,  ...
20230105111037_dQDYO,69.50979,16.07808,15.35328,0.7248,0.21,3.451428571,79.5471,76.5731,1.82E-05,2.33E-05,2.78E-05,3.2241888,15.93779609,19.98535891,23.04200934,20.49021,1.29,0.585,7.04E-05,7.688946329,  ...
20230105111333_290ZH,56.50289,66.85072,63.79934,3.05138,0.35,8.718228571,113.4828,96.4916,4.31E-08,2.58E-07,1.08E-06,22.329769,1.040082064,3.91372267,13.6721997,33.49711,-1.62,0.585,7.27E-05,6.636984546,  ...
20230105111618_XLOjE,73.15089,68.48936,65.73328,2.75608,0.3,9.186933333,110.0385,92.9565,7.53E-08,9.73E-07,2.05E-06,19.719984,1.434355781,12.0087647,24.63922973,16.84911,-2.06,0.766,8.90E-05,6.875307262,  ...
